user_id,age,annual_income,monthly_income,current_savings,monthly_investment_capacity,risk_profile,financial_goal,investment_horizon,dependents,tax_bracket,esg_preference,health_risk,investment_knowledge,emergency_fund_months,existing_epf_balance,existing_ppf_balance,existing_nps_balance,recommended_investments
163,62,2458094,204841,6297804,5692,Aggressive,Child Education,Medium Term,4,30%,Low,Low,Advanced,20,3401499,1734323,896958,"Insurance, Gold, Mutual Funds"
164,46,1100148,91679,6250228,38860,Moderate,Child Education,Short Term,0,20%,Medium,Low,Intermediate,24,2239710,691274,633226,"REITs, Stocks, NPS"
165,62,3316141,276345,7978998,18285,Aggressive,Retirement,Medium Term,2,5%,Medium,High,Advanced,22,2608672,1447643,246238,"NPS, PPF"
166,61,2774954,231246,12382726,59894,Conservative,Wealth Creation,Medium Term,1,20%,High,High,Intermediate,13,4607312,1914273,987398,"PPF, Bonds, ESG Mutual Funds, Fixed Deposit, REITs"
167,55,2132169,177680,8353561,23461,Aggressive,House Purchase,Long Term,5,20%,Low,High,Beginner,1,4594014,1893493,1060083,"PPF, Insurance, Index Funds"
168,31,3052450,254370,17509764,117825,Conservative,Tax Saving,Short Term,5,30%,Medium,Low,Advanced,14,466706,950916,276707,"NPS, PPF, Bonds, Fixed Deposit, Insurance"
169,53,3784833,315402,15377613,149825,Conservative,Emergency Fund,Medium Term,5,20%,High,Low,Intermediate,8,25295,1564065,456972,"PPF, Bonds, ESG Mutual Funds, Fixed Deposit, REITs"
170,58,912616,76051,1569673,113069,Moderate,Tax Saving,Short Term,4,5%,Low,Medium,Beginner,9,3429824,377448,1612651,"NPS, Insurance, PPF, REITs"
171,29,3826251,318854,12614823,102264,Moderate,House Purchase,Medium Term,0,30%,High,High,Beginner,20,2917305,248791,374286,"REITs, ESG Mutual Funds"
172,55,3597214,299767,17795011,35383,Aggressive,Wealth Creation,Short Term,0,20%,Medium,High,Advanced,17,3557843,1115545,795400,"PPF, REITs, Bonds"
173,43,1601252,133437,9299270,51409,Aggressive,Retirement,Short Term,5,20%,High,Low,Beginner,6,564477,211595,1245591,"NPS, PPF, REITs, ESG Mutual Funds"
174,23,4045019,337084,1683306,66155,Aggressive,Retirement,Medium Term,3,5%,High,Low,Beginner,4,4226984,606629,491072,"NPS, Stocks, PPF, ESG Mutual Funds, REITs"
175,57,2975158,247929,19426839,86060,Conservative,Child Education,Short Term,5,30%,Low,Medium,Intermediate,8,511349,1167522,1989191,"Fixed Deposit, PPF, Bonds, REITs"
176,58,1769123,147426,14384472,147712,Moderate,Retirement,Medium Term,5,30%,Medium,High,Intermediate,22,3492384,856181,312932,"NPS, PPF, REITs"
177,40,3457976,288164,6219954,143014,Moderate,Wealth Creation,Short Term,2,30%,Low,Medium,Beginner,17,3461789,873480,1168715,REITs
178,54,1424851,118737,13083180,65663,Moderate,Wealth Creation,Medium Term,5,5%,Medium,Medium,Beginner,17,1597875,108080,563004,REITs
179,45,631748,52645,2492236,51325,Aggressive,Tax Saving,Long Term,4,5%,Medium,Low,Intermediate,9,128628,444193,1965366,"NPS, Insurance, PPF, REITs"
180,33,1284119,107009,16119917,65594,Aggressive,Emergency Fund,Long Term,1,20%,Low,High,Intermediate,24,2374472,798305,977798,"Mutual Funds, Stocks, Index Funds, REITs"
181,55,3313687,276140,10398934,70566,Moderate,Emergency Fund,Medium Term,3,5%,High,Medium,Intermediate,6,3109698,656245,868074,"REITs, ESG Mutual Funds"
182,23,2156181,179681,4946353,6251,Moderate,Emergency Fund,Long Term,4,30%,Medium,Medium,Beginner,6,2767110,482384,796581,"REITs, PPF, Bonds"
183,56,3131694,260974,8684453,130089,Aggressive,Tax Saving,Long Term,3,20%,Low,High,Intermediate,5,1174057,1510606,1146190,"NPS, Insurance, PPF, REITs"
184,52,1843904,153658,18241094,17396,Aggressive,Retirement,Short Term,5,5%,Low,Medium,Beginner,20,1941404,142539,1483042,"NPS, PPF"
185,30,376684,31390,7389014,134574,Moderate,Child Education,Short Term,4,30%,High,High,Intermediate,21,4092419,32991,13867,"REITs, ESG Mutual Funds"
186,55,4927521,410626,13852230,5106,Conservative,Emergency Fund,Long Term,2,30%,Medium,Low,Advanced,22,3611909,1690656,1970718,"Fixed Deposit, PPF, Bonds"
187,32,1197718,99809,3281757,139464,Conservative,Wealth Creation,Short Term,4,30%,Medium,Medium,Intermediate,12,662861,782345,851501,"Fixed Deposit, PPF, Bonds, REITs"
188,50,2340175,195014,7628511,80636,Aggressive,Retirement,Long Term,5,5%,Low,Medium,Intermediate,12,4636395,998255,117681,"NPS, PPF, REITs"
189,61,379273,31606,5800678,23675,Moderate,House Purchase,Long Term,2,30%,Low,High,Beginner,7,1773494,1890106,1820573,"REITs, Bonds, NPS"
190,23,923676,76973,9457757,144352,Aggressive,Tax Saving,Short Term,1,20%,Low,Low,Advanced,4,3341149,1947991,161349,"NPS, Stocks, PPF, Insurance, REITs"
191,40,1662731,138560,18973297,65038,Aggressive,House Purchase,Long Term,4,20%,Medium,High,Beginner,22,657899,1050238,1563335,REITs
192,43,750438,62536,3327791,116580,Conservative,Retirement,Medium Term,4,30%,High,Medium,Intermediate,0,2292833,1643219,944872,"NPS, PPF, Bonds, ESG Mutual Funds, Fixed Deposit"
193,52,2213763,184480,11989042,146975,Moderate,House Purchase,Short Term,5,30%,High,Medium,Beginner,24,2477822,1673643,516842,"REITs, ESG Mutual Funds"
194,25,988184,82348,9041649,42428,Moderate,Tax Saving,Long Term,1,30%,Medium,Medium,Intermediate,3,767729,10895,1977530,"NPS, Insurance, PPF"
195,40,4030714,335892,12126827,72717,Conservative,Wealth Creation,Short Term,1,20%,Medium,High,Advanced,16,3422922,216620,55075,"Fixed Deposit, PPF, Bonds, REITs"
196,26,3268848,272404,18646530,26396,Aggressive,Emergency Fund,Medium Term,3,5%,Medium,Medium,Intermediate,24,710511,1520107,1889819,"Mutual Funds, Stocks, Index Funds"
197,56,2336271,194689,19241807,138604,Conservative,Tax Saving,Medium Term,1,5%,Medium,Medium,Intermediate,15,1224190,132680,350659,"NPS, PPF, Bonds, Fixed Deposit, Insurance"
198,48,2614935,217911,14179849,80578,Moderate,Retirement,Medium Term,2,5%,High,High,Intermediate,19,1640377,960205,224337,"NPS, PPF, REITs, ESG Mutual Funds"
199,29,2855656,237971,277075,105728,Moderate,Emergency Fund,Medium Term,2,20%,Medium,Medium,Advanced,19,1141894,630058,672483,REITs
200,59,1984864,165405,16122899,84361,Conservative,House Purchase,Medium Term,2,30%,High,High,Intermediate,18,2033602,683432,788645,"PPF, Bonds, ESG Mutual Funds, Fixed Deposit, REITs"
201,38,3596178,299681,12297889,31855,Aggressive,Wealth Creation,Long Term,4,5%,High,High,Beginner,23,3872367,1977561,1485553,ESG Mutual Funds
202,34,3978026,331502,9825453,20129,Moderate,Tax Saving,Medium Term,1,30%,Medium,Low,Intermediate,21,1293047,1499959,887363,"NPS, Insurance, PPF"
203,45,920464,76705,15118178,127628,Aggressive,House Purchase,Long Term,4,30%,Medium,High,Beginner,11,4503893,1245330,1338361,REITs
204,26,1217457,101454,8379249,95063,Conservative,Tax Saving,Long Term,0,30%,High,High,Advanced,12,2781634,1669817,902730,"NPS, PPF, Bonds, ESG Mutual Funds, Fixed Deposit"
205,27,388481,32373,3358687,69826,Conservative,Emergency Fund,Long Term,4,30%,High,High,Advanced,7,3739461,784585,820267,"PPF, Bonds, ESG Mutual Funds, Fixed Deposit, REITs"
206,50,4498211,374850,5108160,92431,Conservative,House Purchase,Short Term,2,20%,Low,Low,Advanced,4,2921992,654081,719462,"Fixed Deposit, PPF, Bonds, REITs"
207,50,2035328,169610,17535712,128596,Moderate,House Purchase,Short Term,3,30%,High,Medium,Intermediate,2,2518797,93707,1699083,"REITs, ESG Mutual Funds"
208,28,489457,40788,11561785,30668,Aggressive,Wealth Creation,Long Term,1,30%,Low,High,Beginner,10,4696353,894161,968997,"Mutual Funds, Stocks, Index Funds"
209,35,3697784,308148,6239174,50860,Aggressive,Tax Saving,Medium Term,3,5%,High,High,Beginner,14,4967760,900837,815447,"NPS, PPF, ESG Mutual Funds, Insurance, REITs"
210,21,2101840,175153,6954981,74966,Aggressive,Retirement,Long Term,0,30%,Low,Medium,Intermediate,6,3838211,238980,550194,"NPS, Stocks, PPF, REITs, Mutual Funds"
211,63,4406089,367174,17757177,84157,Aggressive,House Purchase,Long Term,3,30%,Low,Medium,Intermediate,14,1447265,1706532,1412618,REITs
212,40,1010951,84245,4544541,84099,Conservative,Wealth Creation,Medium Term,0,5%,Medium,High,Beginner,16,3258666,877110,1250795,"Fixed Deposit, PPF, Bonds, REITs"
213,29,3518792,293232,14244826,50694,Moderate,Tax Saving,Long Term,5,30%,Low,High,Beginner,15,2422921,294223,392374,"NPS, Insurance, PPF, REITs"
214,41,4083270,340272,1848895,96119,Conservative,House Purchase,Short Term,1,20%,High,High,Advanced,15,3432067,1435912,1031223,"PPF, Bonds, ESG Mutual Funds, Fixed Deposit, REITs"
215,47,4023298,335274,16448034,45844,Conservative,Emergency Fund,Short Term,1,20%,Low,Medium,Beginner,17,2421542,352759,1637330,"Fixed Deposit, PPF, Bonds"
216,50,4454989,371249,18495749,135904,Conservative,Emergency Fund,Short Term,2,30%,Medium,High,Beginner,24,3702451,1145785,458315,"Fixed Deposit, PPF, Bonds, REITs"
217,48,1159131,96594,8355783,80042,Conservative,House Purchase,Medium Term,2,5%,Medium,Low,Beginner,6,4931863,1445217,735326,"Fixed Deposit, PPF, Bonds, REITs"
218,60,3891725,324310,5619418,38499,Conservative,Wealth Creation,Short Term,4,20%,High,Medium,Advanced,17,1412451,678750,1476507,"Fixed Deposit, PPF, Bonds, ESG Mutual Funds"
219,39,2727103,227258,19267817,72082,Aggressive,Tax Saving,Short Term,1,20%,Low,Medium,Advanced,4,1113091,523611,306694,"NPS, Insurance, PPF, REITs"
220,41,2376639,198053,13226850,130308,Conservative,Emergency Fund,Long Term,2,30%,Medium,Medium,Intermediate,2,780935,844839,1081319,"Fixed Deposit, PPF, Bonds, REITs"
221,38,3395993,282999,15307054,129937,Moderate,Emergency Fund,Short Term,5,5%,High,Medium,Advanced,21,3004990,1782802,132814,"REITs, ESG Mutual Funds"
222,55,3636282,303023,7359159,114628,Conservative,House Purchase,Medium Term,2,20%,Medium,High,Advanced,4,4749144,1787659,1017827,"Fixed Deposit, PPF, Bonds, REITs"
223,42,706086,58840,1591588,28102,Aggressive,House Purchase,Short Term,0,5%,Medium,Medium,Beginner,13,1697168,1444081,1907165,"Index Funds, NPS, REITs"
224,38,1082992,90249,12144204,67638,Conservative,Child Education,Long Term,5,5%,Low,Medium,Advanced,9,1964140,900162,1374652,"Fixed Deposit, PPF, Bonds, REITs"
225,26,1098458,91538,86450,57947,Moderate,Retirement,Short Term,4,5%,High,High,Intermediate,0,67633,1458772,720527,"NPS, PPF, REITs, ESG Mutual Funds"
226,28,3842626,320218,4485062,127226,Conservative,Wealth Creation,Medium Term,0,30%,Low,Low,Intermediate,11,2510335,287580,802624,"Fixed Deposit, PPF, Bonds, REITs"
227,29,1498338,124861,2345512,141069,Aggressive,Retirement,Long Term,5,5%,Medium,Medium,Advanced,6,1269818,1929157,863418,"NPS, Stocks, PPF, REITs, Mutual Funds"
228,60,4010984,334248,7339521,24724,Conservative,Wealth Creation,Short Term,4,30%,Medium,Medium,Intermediate,10,1172980,519645,580843,"Fixed Deposit, PPF, Bonds"
229,62,1006729,83894,8377103,147069,Aggressive,Emergency Fund,Long Term,4,20%,High,Low,Advanced,9,1723403,1085798,1272817,"REITs, ESG Mutual Funds"
230,53,1882481,156873,13194982,79474,Aggressive,Retirement,Short Term,3,20%,Low,Low,Intermediate,20,4982244,148922,1107897,"NPS, PPF, REITs"
231,21,3329111,277425,10669060,36598,Moderate,Emergency Fund,Medium Term,2,30%,High,Low,Intermediate,24,612299,35000,1231790,ESG Mutual Funds
232,25,415707,34642,8847478,58555,Conservative,Retirement,Medium Term,4,20%,High,High,Advanced,24,3484896,888301,1471803,"NPS, PPF, Bonds, ESG Mutual Funds, Fixed Deposit"
233,46,991454,82621,18054127,142943,Aggressive,Wealth Creation,Medium Term,0,20%,Low,High,Beginner,4,4499566,685245,819423,REITs
234,58,854613,71217,10457561,116684,Aggressive,Wealth Creation,Short Term,1,5%,Medium,Low,Intermediate,19,461613,648628,1396870,REITs
235,63,1773424,147785,4057842,5320,Aggressive,Wealth Creation,Long Term,0,5%,Medium,Medium,Advanced,16,2174721,350146,779866,"Index Funds, NPS, Mutual Funds"
236,22,3110276,259189,14455742,73298,Aggressive,Retirement,Medium Term,5,30%,High,Low,Intermediate,14,4284748,755234,116264,"NPS, Stocks, PPF, ESG Mutual Funds, REITs"
237,52,1699902,141658,12387554,43237,Moderate,Retirement,Long Term,5,30%,Low,Low,Advanced,16,21546,92354,1800801,"NPS, PPF"
238,21,2351446,195953,1592884,125670,Moderate,House Purchase,Short Term,1,5%,High,High,Advanced,20,3517924,470842,674867,"REITs, ESG Mutual Funds"
239,36,3791813,315984,10785241,73108,Conservative,Emergency Fund,Medium Term,0,30%,High,Low,Beginner,7,4326626,96319,840800,"PPF, Bonds, ESG Mutual Funds, Fixed Deposit, REITs"
240,25,4201492,350124,9522646,83447,Moderate,Retirement,Long Term,3,5%,Medium,Low,Intermediate,18,2549376,1551003,1305933,"NPS, PPF, REITs"
241,36,4191699,349308,12407212,131331,Conservative,Tax Saving,Long Term,1,5%,Low,Medium,Beginner,7,4542810,726503,1333666,"NPS, PPF, Bonds, Fixed Deposit, Insurance"
242,65,380487,31707,11291317,2383,Aggressive,House Purchase,Long Term,5,20%,Low,Low,Advanced,7,3521670,1031859,125609,"Index Funds, NPS, Mutual Funds"
243,23,2241732,186811,17490225,110280,Aggressive,Child Education,Medium Term,5,5%,High,Low,Advanced,4,3308058,156930,1241295,"Stocks, ESG Mutual Funds, REITs, Mutual Funds, Index Funds"
244,57,822466,68538,14645603,36264,Conservative,Child Education,Medium Term,2,20%,High,High,Intermediate,10,3798008,570332,489918,"Fixed Deposit, PPF, Bonds, ESG Mutual Funds"
245,25,2000476,166706,4617155,30566,Conservative,Retirement,Short Term,3,20%,Medium,Medium,Beginner,17,3005532,1615513,435444,"Fixed Deposit, PPF, Bonds, NPS"
246,49,2886272,240522,15597331,71470,Conservative,Retirement,Short Term,5,20%,High,High,Advanced,1,1803725,1753061,1796364,"NPS, PPF, Bonds, ESG Mutual Funds, Fixed Deposit"
247,41,1544230,128685,3110597,67069,Moderate,House Purchase,Long Term,0,30%,Medium,Medium,Beginner,0,3392287,1792228,948334,REITs
248,56,4914748,409562,8433663,26831,Moderate,Retirement,Short Term,0,5%,Low,Low,Beginner,6,3360323,780643,1439244,"NPS, PPF"
249,61,1004973,83747,19589544,69848,Conservative,Retirement,Short Term,1,30%,Medium,Low,Beginner,10,1027836,89540,1976105,"NPS, PPF, Bonds, Fixed Deposit, REITs"
250,50,724779,60398,5686782,115549,Aggressive,House Purchase,Medium Term,0,20%,High,Medium,Beginner,11,1801169,1904852,392484,"REITs, ESG Mutual Funds"
251,38,2647590,220632,15015660,40962,Conservative,Emergency Fund,Long Term,4,5%,High,Medium,Intermediate,13,4619511,1004600,127882,"Fixed Deposit, PPF, Bonds, ESG Mutual Funds"
252,26,2646931,220577,12901860,37975,Moderate,Wealth Creation,Long Term,4,5%,High,High,Beginner,12,3012450,1005971,1141936,ESG Mutual Funds
253,52,3185967,265497,19030101,133699,Moderate,House Purchase,Medium Term,1,5%,Medium,High,Beginner,0,2356634,122874,1695870,REITs
254,51,4741199,395099,12043457,63017,Conservative,Retirement,Short Term,5,5%,Medium,High,Advanced,1,1840557,1207313,1775249,"NPS, PPF, Bonds, Fixed Deposit, REITs"
255,45,3276316,273026,5878808,48163,Conservative,Emergency Fund,Medium Term,5,30%,Medium,High,Beginner,22,2950123,1987174,1190451,"Fixed Deposit, PPF, Bonds"
256,57,1492040,124336,18944798,51344,Moderate,Emergency Fund,Medium Term,1,20%,Low,Low,Beginner,7,1835502,41792,1104042,REITs
257,51,305733,25477,11181145,54812,Conservative,Child Education,Long Term,1,20%,Low,Low,Beginner,18,1188268,1623964,232617,"Fixed Deposit, PPF, Bonds, REITs"
258,54,3360917,280076,2483756,99934,Aggressive,Tax Saving,Medium Term,4,5%,Medium,Medium,Intermediate,4,1321238,1535853,1989554,"NPS, Insurance, PPF, REITs"
259,48,4386929,365577,10696264,47666,Aggressive,Emergency Fund,Long Term,4,20%,Low,High,Advanced,5,3174115,643454,1539299,"NPS, Index Funds, Insurance"
260,21,3584990,298749,19091561,10488,Conservative,Emergency Fund,Medium Term,4,5%,High,High,Beginner,15,1179802,694510,1563098,"Fixed Deposit, PPF, Bonds, ESG Mutual Funds"
261,25,2296454,191371,11687016,85759,Conservative,Tax Saving,Short Term,5,30%,High,High,Intermediate,14,95593,556190,439739,"NPS, PPF, Bonds, ESG Mutual Funds, Fixed Deposit"
262,36,868703,72391,11810196,69281,Conservative,Tax Saving,Short Term,0,20%,Medium,High,Intermediate,5,3473044,1034067,1849207,"NPS, PPF, Bonds, Fixed Deposit, Insurance"
263,45,3246340,270528,18371524,100395,Conservative,House Purchase,Long Term,5,30%,Low,Low,Intermediate,2,280286,618468,42106,"Fixed Deposit, PPF, Bonds, REITs"
264,41,2490497,207541,3563989,21451,Moderate,Wealth Creation,Medium Term,1,30%,Low,High,Beginner,10,4983089,1286906,1873231,"Bonds, Stocks, Fixed Deposit"
265,62,1684096,140341,14619347,43183,Conservative,Retirement,Medium Term,1,5%,Medium,High,Advanced,23,4530900,556300,1385374,"Fixed Deposit, PPF, Bonds, NPS"
266,39,2794777,232898,8020797,27143,Conservative,House Purchase,Long Term,4,20%,Low,Low,Intermediate,0,3587018,183769,617714,"Fixed Deposit, PPF, Bonds"
267,63,4329286,360773,6749974,27424,Conservative,Wealth Creation,Short Term,5,20%,Low,Medium,Beginner,9,3334197,987642,1025710,"Fixed Deposit, PPF, Bonds"
268,63,2523018,210251,3108046,144639,Moderate,Wealth Creation,Medium Term,3,20%,Low,Medium,Beginner,8,3688810,975297,552391,REITs
269,35,2552861,212738,18982973,18158,Conservative,Tax Saving,Long Term,0,5%,High,Medium,Advanced,13,4946983,477128,1160987,"NPS, PPF, Bonds, ESG Mutual Funds, Fixed Deposit"
270,24,3547281,295606,17584951,111741,Aggressive,Tax Saving,Medium Term,4,5%,Medium,Medium,Beginner,12,291323,1052983,1197935,"NPS, Stocks, PPF, Insurance, REITs"
271,54,1536880,128073,4085989,119713,Conservative,Wealth Creation,Short Term,1,5%,Low,Medium,Beginner,21,3652343,423455,1725041,"Fixed Deposit, PPF, Bonds, REITs"
272,61,1540492,128374,8703230,85820,Aggressive,Retirement,Short Term,3,30%,Medium,High,Intermediate,8,4359460,960825,1923427,"NPS, PPF, REITs"
273,21,4683567,390297,14129232,31496,Moderate,Wealth Creation,Short Term,4,30%,High,Low,Beginner,18,847169,1647828,599980,ESG Mutual Funds
274,55,3184583,265381,13837181,71241,Moderate,Tax Saving,Medium Term,4,30%,Medium,Low,Beginner,8,3380390,301680,1296552,"NPS, Insurance, PPF, REITs"
275,59,3669870,305822,1351325,105754,Moderate,Tax Saving,Short Term,0,30%,Medium,Medium,Intermediate,0,2834226,1714182,1664409,"NPS, Insurance, PPF, REITs"
276,40,2908431,242369,9456872,130875,Aggressive,Tax Saving,Short Term,1,5%,Medium,High,Intermediate,24,2691638,565014,1528403,"NPS, Insurance, PPF, REITs"
277,47,1048992,87416,6356075,117793,Conservative,House Purchase,Long Term,3,30%,Medium,Low,Advanced,5,550435,652472,1488074,"Fixed Deposit, PPF, Bonds, REITs"
278,53,3683839,306986,4601652,139438,Aggressive,Retirement,Short Term,1,5%,Low,Low,Beginner,14,424121,1925250,755761,"NPS, PPF, REITs"
279,33,2598289,216524,12409839,123692,Aggressive,House Purchase,Long Term,0,30%,Low,Low,Intermediate,15,4983198,935546,372419,"Mutual Funds, Stocks, Index Funds, REITs"
280,51,4924922,410410,11785994,92242,Conservative,Child Education,Long Term,5,5%,Medium,Low,Intermediate,1,1366566,1790593,1200112,"Fixed Deposit, PPF, Bonds, REITs"
281,34,2156827,179735,7603506,56193,Moderate,Tax Saving,Medium Term,4,5%,High,Low,Intermediate,4,1452912,1260686,1679535,"NPS, PPF, ESG Mutual Funds, Insurance, REITs"
282,21,2177119,181426,8518817,82074,Aggressive,Tax Saving,Long Term,2,20%,Medium,Medium,Intermediate,8,1830470,978736,633644,"NPS, Stocks, PPF, Insurance, REITs"
283,64,4667427,388952,13376227,28820,Conservative,Emergency Fund,Long Term,2,30%,High,High,Advanced,9,2503797,1435318,226711,"Fixed Deposit, PPF, Bonds, ESG Mutual Funds"
284,51,835504,69625,11333806,74478,Aggressive,Child Education,Medium Term,2,30%,High,High,Intermediate,6,1257698,1084843,1605316,"REITs, ESG Mutual Funds"
285,36,776260,64688,13609293,85777,Aggressive,Wealth Creation,Long Term,0,30%,Medium,Medium,Intermediate,13,3394021,814271,1545039,REITs
286,23,1893123,157760,11564775,60291,Aggressive,Emergency Fund,Long Term,3,30%,Medium,High,Intermediate,5,4682924,379869,616109,"Mutual Funds, Stocks, Index Funds, REITs"
287,27,4249196,354099,4343092,69804,Aggressive,Emergency Fund,Short Term,5,20%,High,Low,Beginner,11,1873410,1560721,1827525,"Stocks, ESG Mutual Funds, REITs, Mutual Funds, Index Funds"
288,40,3827179,318931,11167158,99434,Moderate,Emergency Fund,Medium Term,3,5%,Medium,Low,Advanced,18,4868019,1980342,1301607,REITs
289,25,4261265,355105,6577806,133197,Conservative,Tax Saving,Medium Term,4,20%,Medium,Low,Beginner,4,1680209,718630,858137,"NPS, PPF, Bonds, Fixed Deposit, Insurance"
290,57,4138387,344865,4855805,84938,Aggressive,Wealth Creation,Short Term,3,20%,High,Low,Intermediate,20,486653,9884,948024,"REITs, ESG Mutual Funds"
291,38,2056426,171368,5707470,43532,Moderate,Retirement,Short Term,4,20%,High,Medium,Intermediate,13,4004723,803872,9791,"NPS, PPF, ESG Mutual Funds"
292,23,4777693,398141,6741231,99806,Conservative,Child Education,Long Term,1,5%,High,Low,Advanced,23,2087279,474513,1454426,"PPF, Bonds, ESG Mutual Funds, Fixed Deposit, REITs"
293,43,2918019,243168,4376199,28924,Moderate,Emergency Fund,Long Term,2,5%,Low,Low,Intermediate,9,3824587,1526374,1091123,"REITs, Insurance, Gold"
294,48,1422307,118525,11550205,130497,Moderate,Wealth Creation,Short Term,3,5%,Low,Low,Advanced,4,1771592,1539470,45955,REITs
295,58,4533173,377764,5720187,34286,Moderate,Tax Saving,Long Term,0,20%,High,Medium,Advanced,19,407576,1245549,100580,"NPS, Insurance, PPF, ESG Mutual Funds"
296,63,1206921,100576,712423,14644,Aggressive,Retirement,Medium Term,3,20%,Low,High,Intermediate,15,1284523,430954,1457923,"NPS, PPF"
297,64,378052,31504,10153791,112328,Aggressive,Retirement,Long Term,4,20%,High,High,Advanced,4,3513365,1742005,1884546,"NPS, PPF, REITs, ESG Mutual Funds"
298,27,4591484,382623,4000516,76109,Conservative,Retirement,Medium Term,1,30%,Low,Medium,Advanced,6,3002465,1475213,859321,"NPS, PPF, Bonds, Fixed Deposit, REITs"
299,39,1645311,137109,1372236,145691,Moderate,Wealth Creation,Long Term,3,20%,Low,Low,Beginner,21,746609,1901865,231590,REITs
300,57,4444845,370403,5054458,25614,Aggressive,Retirement,Long Term,5,5%,Medium,High,Beginner,14,2483214,553910,973660,"NPS, PPF"
301,24,1137257,94771,5912019,12340,Moderate,Child Education,Long Term,2,20%,High,Low,Beginner,24,384945,20284,1786770,ESG Mutual Funds
302,29,1730360,144196,11078027,95723,Moderate,Emergency Fund,Medium Term,5,5%,Medium,Medium,Beginner,3,3361965,839385,957431,REITs
303,38,3535616,294634,16097239,112556,Aggressive,Wealth Creation,Short Term,1,30%,High,Low,Beginner,3,3489893,1910981,1238893,"REITs, ESG Mutual Funds"
304,51,3975576,331298,6132095,101549,Moderate,Emergency Fund,Short Term,5,30%,Low,Medium,Intermediate,3,3450102,924189,96410,REITs
305,25,2494567,207880,10594075,5240,Aggressive,Tax Saving,Long Term,5,30%,High,High,Beginner,21,2837871,1088630,1097026,"NPS, Stocks, PPF, ESG Mutual Funds, Insurance"
306,65,1098948,91579,14573965,67162,Moderate,Child Education,Long Term,5,30%,Medium,Low,Advanced,19,457733,24421,1349304,REITs
307,31,4541008,378417,15796723,131980,Conservative,Retirement,Medium Term,2,5%,Medium,Medium,Beginner,16,1868197,1154472,1349134,"NPS, PPF, Bonds, Fixed Deposit, REITs"
308,45,3682932,306911,7935291,22664,Moderate,House Purchase,Long Term,3,5%,Medium,Medium,Intermediate,3,4172270,1562879,1370222,"Stocks, Mutual Funds, Fixed Deposit"
309,47,600580,50048,18744214,145942,Conservative,Retirement,Long Term,4,30%,Medium,High,Advanced,6,3826949,1993039,714823,"NPS, PPF, Bonds, Fixed Deposit, REITs"
310,44,755293,62941,7529890,121133,Moderate,Emergency Fund,Long Term,4,20%,High,High,Intermediate,22,3796117,239124,204340,"REITs, ESG Mutual Funds"
311,63,2160149,180012,123717,91484,Moderate,Tax Saving,Medium Term,4,30%,Medium,High,Beginner,1,1377035,1032684,294543,"NPS, Insurance, PPF, REITs"
312,47,1197258,99771,8582533,53359,Conservative,Retirement,Medium Term,1,20%,Low,High,Intermediate,3,3476829,97518,1943276,"NPS, PPF, Bonds, Fixed Deposit, REITs"
313,61,1333637,111136,15166425,121901,Aggressive,Emergency Fund,Long Term,1,20%,Low,High,Advanced,1,4640798,1961483,907669,REITs
314,58,4351126,362593,17106821,48452,Aggressive,Emergency Fund,Short Term,5,5%,Low,Medium,Advanced,19,2699821,1057195,1848409,"Fixed Deposit, REITs, PPF"
315,38,3637575,303131,11554432,79115,Moderate,Wealth Creation,Short Term,3,30%,High,High,Advanced,9,4595329,1805034,658318,"REITs, ESG Mutual Funds"
316,56,2123201,176933,6790719,56974,Aggressive,Tax Saving,Medium Term,5,20%,High,Low,Advanced,20,1491601,1056741,1137687,"NPS, PPF, ESG Mutual Funds, Insurance, REITs"
317,65,3004331,250360,3922357,94337,Aggressive,House Purchase,Long Term,4,30%,High,Medium,Advanced,23,4478701,599634,1840203,"REITs, ESG Mutual Funds"
318,48,407126,33927,17589907,29910,Conservative,House Purchase,Short Term,0,30%,Low,Low,Intermediate,24,1350023,601076,1433173,"Fixed Deposit, PPF, Bonds"
319,37,1528330,127360,2131476,79369,Conservative,Emergency Fund,Short Term,2,20%,Low,High,Advanced,23,4713432,1813704,470406,"Fixed Deposit, PPF, Bonds, REITs"
320,62,3562217,296851,8022381,135935,Aggressive,Child Education,Long Term,5,5%,Medium,Medium,Intermediate,21,2622731,1157889,112831,REITs
321,21,2408402,200700,6864476,118146,Conservative,Tax Saving,Long Term,5,30%,Medium,High,Advanced,23,1648102,1627697,1520255,"NPS, PPF, Bonds, Fixed Deposit, Insurance"
322,33,2767741,230645,15109729,48511,Aggressive,Retirement,Short Term,1,30%,High,Low,Intermediate,1,3594584,585340,1167271,"NPS, Stocks, PPF, ESG Mutual Funds, Mutual Funds"
323,37,1391077,115923,5449876,68850,Conservative,Child Education,Medium Term,5,5%,Low,Low,Intermediate,19,426606,1622484,1955346,"Fixed Deposit, PPF, Bonds, REITs"
324,61,2826269,235522,16510158,146221,Moderate,Retirement,Long Term,2,30%,Low,Low,Advanced,2,4237424,334224,872271,"NPS, PPF, REITs"
325,55,4804984,400415,13586430,26102,Moderate,Wealth Creation,Short Term,5,20%,Medium,Medium,Intermediate,6,4450147,995847,1177204,"Stocks, Mutual Funds, Gold"
326,49,2316184,193015,8231481,12453,Aggressive,Child Education,Medium Term,0,20%,Medium,High,Advanced,9,207246,1911209,1083950,"Gold, Insurance, Bonds"
